Variable,ValueOrder,ValueText,VariableName,ValueGroup1
OriginPurpose,54,Went to religious/community/volunteer activity,Origin purpose,Went to religious/community/volunteer activity
OriginPurpose,56,"Went to a family activity (e.g., child's softball game)",Origin purpose,"Went to a family activity (e.g., child's softball game)"
OriginPurpose,60,"Transferred to another mode of transportation (e.g., change from ferry to bus)",Origin purpose,"Transferred to another mode of transportation (e.g., change from ferry to bus)"
OriginPurpose,61,Other appointment/errands (rMove only),Origin purpose,Other appointment/errands (rMove only)
OriginPurpose,62,Other social/leisure (rMove only),Origin purpose,Other social/leisure (rMove only)
OriginPurpose,97,Other purpose,Origin purpose,Other purpose
DestPurpose,1,Went home,Destination purpose,Went home
DestPurpose,6,"Went to school/daycare (e.g., daycare, K-12, college)",Destination purpose,"Went to school/daycare (e.g., daycare, K-12, college)"
DestPurpose,9,"Dropped off/picked up someone (e.g., son at a friend's house, spouse at bus stop)",Destination purpose,"Dropped off/picked up someone (e.g., son at a friend's house, spouse at bus stop)"
DestPurpose,10,Went to primary workplace,Destination purpose,Went to primary workplace
DestPurpose,11,"Went to work-related place (e.g., meeting, second job, delivery)",Destination purpose,"Went to work-related place (e.g., meeting, second job, delivery)"
DestPurpose,14,Went to other work-related activity,Destination purpose,Went to other work-related activity
DestPurpose,30,Went grocery shopping,Destination purpose,Went grocery shopping
DestPurpose,32,"Went to other shopping (e.g., mall, pet store)",Destination purpose,"Went to other shopping (e.g., mall, pet store)"
DestPurpose,33,"Conducted personal business (e.g., bank, post office)",Destination purpose,"Conducted personal business (e.g., bank, post office)"
DestPurpose,34,"Went to medical appointment (e.g., doctor, dentist)",Destination purpose,"Went to medical appointment (e.g., doctor, dentist)"
DestPurpose,50,Went to restaurant to eat/get take-out,Destination purpose,Went to restaurant to eat/get take-out
DestPurpose,51,"Went to exercise (e.g., gym, walk, jog, bike ride)",Destination purpose,"Went to exercise (e.g., gym, walk, jog, bike ride)"
DestPurpose,52,"Attended social event (e.g., visit with friends, family, co-workers)",Destination purpose,"Attended social event (e.g., visit with friends, family, co-workers)"
DestPurpose,53,"Attended recreational event (e.g., movies, sporting event)",Destination purpose,"Attended recreational event (e.g., movies, sporting event)"
DestPurpose,54,Went to religious/community/volunteer activity,Destination purpose,Went to religious/community/volunteer activity
DestPurpose,56,"Went to a family activity (e.g., child's softball game)",Destination purpose,"Went to a family activity (e.g., child's softball game)"
DestPurpose,60,"Transferred to another mode of transportation (e.g., change from ferry to bus)",Destination purpose,"Transferred to another mode of transportation (e.g., change from ferry to bus)"
DestPurpose,61,Other appointment/errands (rMove only),Destination purpose,Other appointment/errands (rMove only)
DestPurpose,62,Other social/leisure (rMove only),Destination purpose,Other social/leisure (rMove only)
DestPurpose,97,Other purpose,Destination purpose,Other purpose
Mode4,1,"Walk, jog, or wheelchair",rMove only: Fourth mode chosen,"Walk, jog, or wheelchair"
Mode4,2,Bicycle or e-bike,rMove only: Fourth mode chosen,Bicycle or e-bike
Mode4,3,Household vehicle 1,rMove only: Fourth mode chosen,Household vehicle 1
Mode4,4,Household vehicle 2,rMove only: Fourth mode chosen,Household vehicle 2
Mode4,5,Household vehicle 3,rMove only: Fourth mode chosen,Household vehicle 3
Mode4,6,Household vehicle 4,rMove only: Fourth mode chosen,Household vehicle 4
Mode4,7,Household vehicle 5,rMove only: Fourth mode chosen,Household vehicle 5
Mode4,8,Household vehicle 6,rMove only: Fourth mode chosen,Household vehicle 6
Mode4,9,Household vehicle 7,rMove only: Fourth mode chosen,Household vehicle 7
Mode4,10,Household vehicle 8,rMove only: Fourth mode chosen,Household vehicle 8
Mode4,11,Household vehicle 9,rMove only: Fourth mode chosen,Household vehicle 9
Mode4,12,Household vehicle 10,rMove only: Fourth mode chosen,Household vehicle 10
Mode4,16,Other household vehicle,rMove only: Fourth mode chosen,Other household vehicle
Mode4,17,Rental car,rMove only: Fourth mode chosen,Rental car
Mode4,18,"Carshare vehicle (e.g., Zipcar, Car2Go, RelayRides, etc.)",rMove only: Fourth mode chosen,"Carshare vehicle (e.g., Zipcar, Car2Go, RelayRides, etc.)"
Mode4,21,Vanpool vehicle,rMove only: Fourth mode chosen,Vanpool vehicle
Mode4,22,Other non-household vehicle,rMove only: Fourth mode chosen,Other non-household vehicle
Mode4,23,Bus (public transit),rMove only: Fourth mode chosen,Bus (public transit)
Mode4,24,School bus,rMove only: Fourth mode chosen,School bus
Mode4,26,Private bus or shuttle,rMove only: Fourth mode chosen,Private bus or shuttle
Mode4,27,Paratransit,rMove only: Fourth mode chosen,Paratransit
Mode4,28,Other bus (rMove only),rMove only: Fourth mode chosen,Other bus (rMove only)
Mode4,31,Airplane or helicopter,rMove only: Fourth mode chosen,Airplane or helicopter
Mode4,32,Ferry or water taxi,rMove only: Fourth mode chosen,Ferry or water taxi
Mode4,33,Car from work,rMove only: Fourth mode chosen,Car from work
Mode4,34,Friend/colleague's car,rMove only: Fourth mode chosen,Friend/colleague's car
Mode4,36,"Taxi (e.g., Yello Cab)",rMove only: Fourth mode chosen,"Taxi (e.g., Yello Cab)"
Mode4,37,"Other hired service (e.g., Lyft, Uber)",rMove only: Fourth mode chosen,"Other hired service (e.g., Lyft, Uber)"
Mode4,41,"Commuter rail (Sounder, Amtrak)",rMove only: Fourth mode chosen,"Commuter rail (Sounder, Amtrak)"
Mode4,42,"Other rail (e.g., streetcar)",rMove only: Fourth mode chosen,"Other rail (e.g., streetcar)"
Mode4,47,Other motorcycle/moped/scooter,rMove only: Fourth mode chosen,Other motorcycle/moped/scooter
Mode4,52,"Urban rail (e.g., Link light rail, monorail)",rMove only: Fourth mode chosen,"Urban rail (e.g., Link light rail, monorail)"
Mode4,97,"Other mode (e.g., skateboard, kayak, motorhome, etc.)",rMove only: Fourth mode chosen,"Other mode (e.g., skateboard, kayak, motorhome, etc.)"
TravelersNonHH,0,None (0 people),Number of non-household members on trip,None (0 people)
TravelersNonHH,1,1 other person,Number of non-household members on trip,1 other person
TravelersNonHH,2,2 other people,Number of non-household members on trip,2 other people
TravelersNonHH,3,3 other people,Number of non-household members on trip,3 other people
TravelersNonHH,4,4 other people,Number of non-household members on trip,4 other people
TravelersNonHH,5,5+ other people,Number of non-household members on trip,5+ other people
Driver,1,Driver,"Auto trip, non-taxi: Driver or passenger",Driver
Driver,2,Passenger,"Auto trip, non-taxi: Driver or passenger",Passenger
Driver,3,Both (switched drivers during trip),"Auto trip, non-taxi: Driver or passenger",Both (switched drivers during trip)
HHmemberNone,0,No,rSurvey only: Flag: Self-only on trip,No
HHmemberNone,1,Yes,rSurvey only: Flag: Self-only on trip,Yes
PoolStart,1,Yes,Carpool/Vanpool: Joined carpool/vanpool at trip origin,Yes
PoolStart,2,"No, drove to a Park & Ride lot",Carpool/Vanpool: Joined carpool/vanpool at trip origin,"No, drove to a Park & Ride lot"
PoolStart,3,"No, drove to another meeting place",Carpool/Vanpool: Joined carpool/vanpool at trip origin,"No, drove to another meeting place"
PoolStart,4,"No, walked/biked to a Park & Ride lot",Carpool/Vanpool: Joined carpool/vanpool at trip origin,"No, walked/biked to a Park & Ride lot"
PoolStart,5,"No, walked/biked to another meeting place",Carpool/Vanpool: Joined carpool/vanpool at trip origin,"No, walked/biked to another meeting place"
PoolStart,6,"No, rode a bus to a Park & Ride lot",Carpool/Vanpool: Joined carpool/vanpool at trip origin,"No, rode a bus to a Park & Ride lot"
PoolStart,7,"No, rode a bus to another place",Carpool/Vanpool: Joined carpool/vanpool at trip origin,"No, rode a bus to another place"
ChangeVehicles,1,"No, stayed in the same vehicle (picked up/dropped off passengers)",Changed vehicles at carpool start location,"No, stayed in the same vehicle (picked up/dropped off passengers)"
ChangeVehicles,2,"Yes, changed vehicles to join carpool/vanpool",Changed vehicles at carpool start location,"Yes, changed vehicles to join carpool/vanpool"
ParkRideAreaStart,1,"North Seattle & Shoreline: includes Greenlake, Jackson Park, Northgate & Roosevelt",Park & Ride: Origin lot area,"North Seattle & Shoreline: includes Greenlake, Jackson Park, Northgate & Roosevelt"
ParkRideAreaStart,2,South Seattle: includes Burien & Vashon Island,Park & Ride: Origin lot area,South Seattle: includes Burien & Vashon Island
ParkRideAreaStart,3,"Northeast Side (King County): includes Bothell, Kenmore & Woodinville",Park & Ride: Origin lot area,"Northeast Side (King County): includes Bothell, Kenmore & Woodinville"
ParkRideAreaStart,4,"East Side (King County): includes Bellevue, Kirkland, Medina, Mercer Island, Redmond & Sammamish",Park & Ride: Origin lot area,"East Side (King County): includes Bellevue, Kirkland, Medina, Mercer Island, Redmond & Sammamish"
ParkRideAreaStart,5,"Southeast Side (King County): includes Maple Valley, Newport Hills/Newcastle, & Renton",Park & Ride: Origin lot area,"Southeast Side (King County): includes Maple Valley, Newport Hills/Newcastle, & Renton"
ParkRideAreaStart,6,"East King County: includes Issaquah, North Bend, Preston, Sammamish, & Snoqualmie",Park & Ride: Origin lot area,"East King County: includes Issaquah, North Bend, Preston, Sammamish, & Snoqualmie"
ParkRideAreaStart,7,"South King County: includes Auburn, Black Diamond, Covington, Enumclaw, Federal Way, Kent, Lake Meridian & Tukwila",Park & Ride: Origin lot area,"South King County: includes Auburn, Black Diamond, Covington, Enumclaw, Federal Way, Kent, Lake Meridian & Tukwila"
ParkRideAreaStart,8,"Bremerton/Central Kitsap: includes Bremerton, Seabeck",Park & Ride: Origin lot area,"Bremerton/Central Kitsap: includes Bremerton, Seabeck"
ParkRideAreaStart,9,"Poulsbo/North Kitsap: includes Kingston, Poulsbo, Suquamish",Park & Ride: Origin lot area,"Poulsbo/North Kitsap: includes Kingston, Poulsbo, Suquamish"
ParkRideAreaStart,10,Bainbridge Island Vicinity,Park & Ride: Origin lot area,Bainbridge Island Vicinity
ParkRideAreaStart,11,"Port Orchard/South Kitsap: includes Port Orchard, Burley, Southworth, & Olalla",Park & Ride: Origin lot area,"Port Orchard/South Kitsap: includes Port Orchard, Burley, Southworth, & Olalla"
ParkRideAreaStart,12,"North Snohomish County: includes Arlington, Stanwood",Park & Ride: Origin lot area,"North Snohomish County: includes Arlington, Stanwood"
ParkRideAreaStart,13,"East Snohomish County: includes Gold Bar, Granite Falls, Monroe, & Sultan",Park & Ride: Origin lot area,"East Snohomish County: includes Gold Bar, Granite Falls, Monroe, & Sultan"
ParkRideAreaStart,14,"South Snohomish County: includes northern Bothell, Brier, Edmonds, Lynnwood, Mill Creek, & Mountlake Terrace",Park & Ride: Origin lot area,"South Snohomish County: includes northern Bothell, Brier, Edmonds, Lynnwood, Mill Creek, & Mountlake Terrace"
ParkRideAreaStart,15,"Central Snohomish County: includes Everett, Lake Stevens, Marysville, & Snohomish",Park & Ride: Origin lot area,"Central Snohomish County: includes Everett, Lake Stevens, Marysville, & Snohomish"
ParkRideAreaStart,16,"East Pierce County (excluding Tacoma): includes Gig Harbor, Dupont, Lakewood, & Purdy",Park & Ride: Origin lot area,"East Pierce County (excluding Tacoma): includes Gig Harbor, Dupont, Lakewood, & Purdy"
ParkRideAreaStart,17,"Central Pierce County: Bonney Lake, Parkland, Puyallup, Sumner, & Spanaway",Park & Ride: Origin lot area,"Central Pierce County: Bonney Lake, Parkland, Puyallup, Sumner, & Spanaway"
ParkRideAreaStart,18,Pierce County: includes Tacoma,Park & Ride: Origin lot area,Pierce County: includes Tacoma
ParkRideAreaEnd,1,"North Seattle & Shoreline: includes Greenlake, Jackson Park, Northgate & Roosevelt",Park & Ride: Destination lot area,"North Seattle & Shoreline: includes Greenlake, Jackson Park, Northgate & Roosevelt"
ParkRideAreaEnd,2,South Seattle: includes Burien & Vashon Island,Park & Ride: Destination lot area,South Seattle: includes Burien & Vashon Island
ParkRideAreaEnd,3,"Northeast Side (King County): includes Bothell, Kenmore & Woodinville",Park & Ride: Destination lot area,"Northeast Side (King County): includes Bothell, Kenmore & Woodinville"
ParkRideAreaEnd,4,"East Side (King County): includes Bellevue, Kirkland, Medina, Mercer Island, Redmond & Sammamish",Park & Ride: Destination lot area,"East Side (King County): includes Bellevue, Kirkland, Medina, Mercer Island, Redmond & Sammamish"
ParkRideAreaEnd,5,"Southeast Side (King County): includes Maple Valley, Newport Hills/Newcastle, & Renton",Park & Ride: Destination lot area,"Southeast Side (King County): includes Maple Valley, Newport Hills/Newcastle, & Renton"
ParkRideAreaEnd,6,"East King County: includes Issaquah, North Bend, Preston, Sammamish, & Snoqualmie",Park & Ride: Destination lot area,"East King County: includes Issaquah, North Bend, Preston, Sammamish, & Snoqualmie"
ParkRideAreaEnd,7,"South King County: includes Auburn, Black Diamond, Covington, Enumclaw, Federal Way, Kent, Lake Meridian & Tukwila",Park & Ride: Destination lot area,"South King County: includes Auburn, Black Diamond, Covington, Enumclaw, Federal Way, Kent, Lake Meridian & Tukwila"
ParkRideAreaEnd,8,"Bremerton/Central Kitsap: includes Bremerton, Seabeck",Park & Ride: Destination lot area,"Bremerton/Central Kitsap: includes Bremerton, Seabeck"
ParkRideAreaEnd,9,"Poulsbo/North Kitsap: includes Kingston, Poulsbo, Suquamish",Park & Ride: Destination lot area,"Poulsbo/North Kitsap: includes Kingston, Poulsbo, Suquamish"
ParkRideAreaEnd,10,Bainbridge Island Vicinity,Park & Ride: Destination lot area,Bainbridge Island Vicinity
ParkRideAreaEnd,11,"Port Orchard/South Kitsap: includes Port Orchard, Burley, Southworth, & Olalla",Park & Ride: Destination lot area,"Port Orchard/South Kitsap: includes Port Orchard, Burley, Southworth, & Olalla"
ParkRideAreaEnd,12,"North Snohomish County: includes Arlington, Stanwood",Park & Ride: Destination lot area,"North Snohomish County: includes Arlington, Stanwood"
ParkRideAreaEnd,13,"East Snohomish County: includes Gold Bar, Granite Falls, Monroe, & Sultan",Park & Ride: Destination lot area,"East Snohomish County: includes Gold Bar, Granite Falls, Monroe, & Sultan"
ParkRideAreaEnd,14,"South Snohomish County: includes northern Bothell, Brier, Edmonds, Lynnwood, Mill Creek, & Mountlake Terrace",Park & Ride: Destination lot area,"South Snohomish County: includes northern Bothell, Brier, Edmonds, Lynnwood, Mill Creek, & Mountlake Terrace"
ParkRideAreaEnd,15,"Central Snohomish County: includes Everett, Lake Stevens, Marysville, & Snohomish",Park & Ride: Destination lot area,"Central Snohomish County: includes Everett, Lake Stevens, Marysville, & Snohomish"
ParkRideAreaEnd,16,"East Pierce County (excluding Tacoma): includes Gig Harbor, Dupont, Lakewood, & Purdy",Park & Ride: Destination lot area,"East Pierce County (excluding Tacoma): includes Gig Harbor, Dupont, Lakewood, & Purdy"
ParkRideAreaEnd,17,"Central Pierce County: Bonney Lake, Parkland, Puyallup, Sumner, & Spanaway",Park & Ride: Destination lot area,"Central Pierce County: Bonney Lake, Parkland, Puyallup, Sumner, & Spanaway"
ParkRideAreaEnd,18,Pierce County: includes Tacoma,Park & Ride: Destination lot area,Pierce County: includes Tacoma
ParkRideAreaEnd,1,,Park & Ride: Destination lot area,
Toll,0,"No, I did not use a toll road/bridge","Auto trip, non-taxi: Used toll on trip","No, I did not use a toll road/bridge"
Toll,1,"Yes, I used a toll road/bridge","Auto trip, non-taxi: Used toll on trip","Yes, I used a toll road/bridge"
Toll,98,I don't know,"Auto trip, non-taxi: Used toll on trip",I don't know
TollPay,2,The toll was free,Used toll on trip: toll fare,The toll was free
TollPay,3,The toll was less than $2.00,Used toll on trip: toll fare,The toll was less than $2.00
TollPay,4,The toll cost $2.00-$3.99,Used toll on trip: toll fare,The toll cost $2.00-$3.99
TollPay,5,The toll cost $4.00-$5.99,Used toll on trip: toll fare,The toll cost $4.00-$5.99
TollPay,6,The toll cost $6.00-$7.99,Used toll on trip: toll fare,The toll cost $6.00-$7.99
TollPay,7,The toll cost $8.00-$9.99,Used toll on trip: toll fare,The toll cost $8.00-$9.99
TollPay,8,The toll cost $10.00 or more,Used toll on trip: toll fare,The toll cost $10.00 or more
TollPay,98,I don't know,Used toll on trip: toll fare,I don't know
TaxiType,1,I paid the fare myself (no reimbursement),rMove only: Taxi trip fare payment method,I paid the fare myself (no reimbursement)
TaxiType,2,Employer paid (I am reimbursed),rMove only: Taxi trip fare payment method,Employer paid (I am reimbursed)
TaxiType,3,Split/shared fare with other(s),rMove only: Taxi trip fare payment method,Split/shared fare with other(s)
TaxiType,4,Someone else paid 100% (all of taxi fare),rMove only: Taxi trip fare payment method,Someone else paid 100% (all of taxi fare)
TaxiType,97,Other,rMove only: Taxi trip fare payment method,Other
TaxiPay,1,Less than $5.00,Approximate taxi trip fare,Less than $5.00
TaxiPay,2,$5.00-$9.99,Approximate taxi trip fare,$5.00-$9.99
TaxiPay,3,$10.00-$19.99,Approximate taxi trip fare,$10.00-$19.99
TaxiPay,4,$20.00-$29.99,Approximate taxi trip fare,$20.00-$29.99
TaxiPay,5,$30.00-$39.99,Approximate taxi trip fare,$30.00-$39.99
TaxiPay,6,$40.00-$49.99,Approximate taxi trip fare,$40.00-$49.99
TaxiPay,7,$50.00-$99.99,Approximate taxi trip fare,$50.00-$99.99
TaxiPay,98,Don't know,Approximate taxi trip fare,Don't know
BusType,1,Free (no cost at all),rMove only: Bus trip fare payment method,Free (no cost at all)
BusType,2,Used a pass (any type),rMove only: Bus trip fare payment method,Used a pass (any type)
BusType,3,"Cash, credit card, or ticket(s)",rMove only: Bus trip fare payment method,"Cash, credit card, or ticket(s)"
BusType,97,Other,rMove only: Bus trip fare payment method,Other
BusType,98,Don't Know,rMove only: Bus trip fare payment method,Don't Know
BusPay,98,Don't know,rMove only: Approximate bus trip fare,Don't know
BusCostDk,0,Not selected,rMove only: Don't know bus trip cost,Not selected
BusCostDk,1,Selected,rMove only: Don't know bus trip cost,Selected
FerryType,1,Free (no cost at all),rMove only: Ferry trip fare payment method,Free (no cost at all)
FerryType,2,Used a pass (any type),rMove only: Ferry trip fare payment method,Used a pass (any type)
FerryType,3,"Cash, credit card, or ticket(s)",rMove only: Ferry trip fare payment method,"Cash, credit card, or ticket(s)"
FerryType,97,Other,rMove only: Ferry trip fare payment method,Other
FerryType,98,Don't Know,rMove only: Ferry trip fare payment method,Don't Know
FerryPay,98,Don't know,rMove only: Approximate ferry trip fare,Don't know
FerryCostDk,0,Not selected,rMove only: Don't know ferry trip cost,Not selected
FerryCostDk,1,Selected,rMove only: Don't know ferry trip cost,Selected
RailType,1,Free (no cost at all),rMove only: Rail trip fare payment method,Free (no cost at all)
RailType,2,Used a pass (any type),rMove only: Rail trip fare payment method,Used a pass (any type)
RailType,3,"Cash, credit card, or ticket(s)",rMove only: Rail trip fare payment method,"Cash, credit card, or ticket(s)"
RailType,97,Other,rMove only: Rail trip fare payment method,Other
RailType,98,Don't Know,rMove only: Rail trip fare payment method,Don't Know
RailPay,98,Don't know,rMove only: Approximate rail trip fare,Don't know
RailCostDk,0,Not selected,rMove only: Don't know rail trip cost,Not selected
RailCostDk,1,Selected,rMove only: Don't know rail trip cost,Selected
AirType,1,I paid the fare myself (no reimbursement),rMove only: Air trip fare payment method,I paid the fare myself (no reimbursement)
AirType,2,Employer paid 100% (I am reimbursed),rMove only: Air trip fare payment method,Employer paid 100% (I am reimbursed)
AirType,3,Used miles/points to purchase flight,rMove only: Air trip fare payment method,Used miles/points to purchase flight
AirType,4,Someone else paid 100% (all of airfare cost),rMove only: Air trip fare payment method,Someone else paid 100% (all of airfare cost)
AirType,97,Other,rMove only: Air trip fare payment method,Other
AirPay,98,Don't know,rMove only: Approximate air trip fare,Don't know
AirfareCostDk,0,Not selected,rMove only: Don't know air trip cost,Not selected
AirfareCostDk,1,Selected,rMove only: Don't know air trip cost,Selected
ModeAcc,1,Walked or jogged,Transit trip: Travel mode to transit,Walked or jogged
ModeAcc,2,Rode a bike,Transit trip: Travel mode to transit,Rode a bike
ModeAcc,3,"Drove and parked a car (e.g., a vehicle in my household)",Transit trip: Travel mode to transit,"Drove and parked a car (e.g., a vehicle in my household)"
ModeAcc,4,"Drove and parked a carshare vehicle (e.g., ZipCar, Car2Go)",Transit trip: Travel mode to transit,"Drove and parked a carshare vehicle (e.g., ZipCar, Car2Go)"
ModeAcc,5,Got dropped off,Transit trip: Travel mode to transit,Got dropped off
ModeAcc,6,"Took a taxi (e.g., Yellow Cab)",Transit trip: Travel mode to transit,"Took a taxi (e.g., Yellow Cab)"
ModeAcc,7,"Took ride-share/other hired car service (e.g., Lyft, Uber)",Transit trip: Travel mode to transit,"Took ride-share/other hired car service (e.g., Lyft, Uber)"
ModeAcc,97,Other,Transit trip: Travel mode to transit,Other
ModeEgr,1,Walked or jogged,Transit trip: Travel mode from transit,Walked or jogged
ModeEgr,2,Rode a bike,Transit trip: Travel mode from transit,Rode a bike
ModeEgr,3,"Drove and parked a car (e.g., a vehicle in my household)",Transit trip: Travel mode from transit,"Drove and parked a car (e.g., a vehicle in my household)"
ModeEgr,4,"Drove and parked a carshare vehicle (e.g., ZipCar, Car2Go)",Transit trip: Travel mode from transit,"Drove and parked a carshare vehicle (e.g., ZipCar, Car2Go)"
ModeEgr,5,Got dropped off,Transit trip: Travel mode from transit,Got dropped off
ModeEgr,6,"Took a taxi (e.g., Yellow Cab)",Transit trip: Travel mode from transit,"Took a taxi (e.g., Yellow Cab)"
ModeEgr,7,"Took ride-share/other hired car service (e.g., Lyft, Uber)",Transit trip: Travel mode from transit,"Took ride-share/other hired car service (e.g., Lyft, Uber)"
ModeEgr,97,Other,Transit trip: Travel mode from transit,Other
Park,1,Personal driveway/garage (e.g. own or friend's/family's),"Auto trip, non-taxi: Park location at end of trip",Personal driveway/garage (e.g. own or friend's/family's)
Park,2,Parking lot/garage (off-street) at destination,"Auto trip, non-taxi: Park location at end of trip",Parking lot/garage (off-street) at destination
Park,3,Parking lot/garage (off-street) 2+ blocks from destination,"Auto trip, non-taxi: Park location at end of trip",Parking lot/garage (off-street) 2+ blocks from destination
Park,4,On the street by destination,"Auto trip, non-taxi: Park location at end of trip",On the street by destination
Park,5,On the street 2+ blocks from destination,"Auto trip, non-taxi: Park location at end of trip",On the street 2+ blocks from destination
Park,6,Park & Ride lot,"Auto trip, non-taxi: Park location at end of trip",Park & Ride lot
Park,7,N/A - did not get out of vehicle / was dropped off,"Auto trip, non-taxi: Park location at end of trip",N/A - did not get out of vehicle / was dropped off
Park,97,Other,"Auto trip, non-taxi: Park location at end of trip",Other
ParkType,1,Free parking (no cost at all),"rMove only: Auto, non-taxi trip: Park payment method at end of trip",Free parking (no cost at all)
ParkType,2,Used a parking pass (any type),"rMove only: Auto, non-taxi trip: Park payment method at end of trip",Used a parking pass (any type)
ParkType,3,"Paid via cash, credit card, or ticket(s)","rMove only: Auto, non-taxi trip: Park payment method at end of trip","Paid via cash, credit card, or ticket(s)"
ParkType,4,"Reserved parking service (e.g., ParkingPanda)","rMove only: Auto, non-taxi trip: Park payment method at end of trip","Reserved parking service (e.g., ParkingPanda)"
ParkType,97,Other,"rMove only: Auto, non-taxi trip: Park payment method at end of trip",Other
ParkPay,0,Nothing (parking was free),"Auto trip, non-taxi: Park cost at end of trip",Nothing (parking was free)
ParkPay,1,Less than $2.00,"Auto trip, non-taxi: Park cost at end of trip",Less than $2.00
ParkPay,2,$2.00-$4.99,"Auto trip, non-taxi: Park cost at end of trip",$2.00-$4.99
ParkPay,3,$5.00-$9.99,"Auto trip, non-taxi: Park cost at end of trip",$5.00-$9.99
ParkPay,4,$10.00-$19.99,"Auto trip, non-taxi: Park cost at end of trip",$10.00-$19.99
ParkPay,5,More than $20.00,"Auto trip, non-taxi: Park cost at end of trip",More than $20.00
ParkPay,6,Not applicable (e.g. used a monthly parking pass),"Auto trip, non-taxi: Park cost at end of trip",Not applicable (e.g. used a monthly parking pass)
ParkPay,7,Another person with me paid,"Auto trip, non-taxi: Park cost at end of trip",Another person with me paid
ParkPay,98,Don't know,"Auto trip, non-taxi: Park cost at end of trip",Don't know
TransitSystem1,1,Community Transit,rSurvey only: Transit leg 1: System name,Community Transit
TransitSystem1,2,Everett Transit,rSurvey only: Transit leg 1: System name,Everett Transit
TransitSystem1,3,King County Metro,rSurvey only: Transit leg 1: System name,King County Metro
TransitSystem1,4,King County Water Taxi,rSurvey only: Transit leg 1: System name,King County Water Taxi
TransitSystem1,5,Kitsap Ferry,rSurvey only: Transit leg 1: System name,Kitsap Ferry
TransitSystem1,6,Kitsap Transit Bus,rSurvey only: Transit leg 1: System name,Kitsap Transit Bus
TransitSystem1,7,Kitsap Transit Worker/Driver,rSurvey only: Transit leg 1: System name,Kitsap Transit Worker/Driver
TransitSystem1,8,Pierce County Ferry,rSurvey only: Transit leg 1: System name,Pierce County Ferry
TransitSystem1,9,Pierce Transit,rSurvey only: Transit leg 1: System name,Pierce Transit
TransitSystem1,10,Seattle Monorail,rSurvey only: Transit leg 1: System name,Seattle Monorail
TransitSystem1,11,Seattle Streetcar,rSurvey only: Transit leg 1: System name,Seattle Streetcar
TransitSystem1,12,Sound Transit Bus,rSurvey only: Transit leg 1: System name,Sound Transit Bus
TransitSystem1,13,Sound Transit Rail,rSurvey only: Transit leg 1: System name,Sound Transit Rail
TransitSystem1,14,Washington State Ferries,rSurvey only: Transit leg 1: System name,Washington State Ferries
TransitSystem1,15,King County Metro Dial-a-Ride,rSurvey only: Transit leg 1: System name,King County Metro Dial-a-Ride
TransitSystem1,16,Amtrak,rSurvey only: Transit leg 1: System name,Amtrak
TransitSystem2,1,Community Transit,rSurvey only: Transit leg 2: System name,Community Transit
TransitSystem2,2,Everett Transit,rSurvey only: Transit leg 2: System name,Everett Transit
TransitSystem2,3,King County Metro,rSurvey only: Transit leg 2: System name,King County Metro
TransitSystem2,4,King County Water Taxi,rSurvey only: Transit leg 2: System name,King County Water Taxi
TransitSystem2,5,Kitsap Ferry,rSurvey only: Transit leg 2: System name,Kitsap Ferry
TransitSystem2,6,Kitsap Transit Bus,rSurvey only: Transit leg 2: System name,Kitsap Transit Bus
TransitSystem2,7,Kitsap Transit Worker/Driver,rSurvey only: Transit leg 2: System name,Kitsap Transit Worker/Driver
TransitSystem2,8,Pierce County Ferry,rSurvey only: Transit leg 2: System name,Pierce County Ferry
TransitSystem2,9,Pierce Transit,rSurvey only: Transit leg 2: System name,Pierce Transit
TransitSystem2,10,Seattle Monorail,rSurvey only: Transit leg 2: System name,Seattle Monorail
TransitSystem2,11,Seattle Streetcar,rSurvey only: Transit leg 2: System name,Seattle Streetcar
TransitSystem2,12,Sound Transit Bus,rSurvey only: Transit leg 2: System name,Sound Transit Bus
TransitSystem2,13,Sound Transit Rail,rSurvey only: Transit leg 2: System name,Sound Transit Rail
TransitSystem2,14,Washington State Ferries,rSurvey only: Transit leg 2: System name,Washington State Ferries
TransitSystem2,15,King County Metro Dial-a-Ride,rSurvey only: Transit leg 2: System name,King County Metro Dial-a-Ride
TransitSystem2,16,Amtrak,rSurvey only: Transit leg 2: System name,Amtrak
TransitSystem3,1,Community Transit,rSurvey only: Transit leg 3: System name,Community Transit
TransitSystem3,2,Everett Transit,rSurvey only: Transit leg 3: System name,Everett Transit
TransitSystem3,3,King County Metro,rSurvey only: Transit leg 3: System name,King County Metro
TransitSystem3,4,King County Water Taxi,rSurvey only: Transit leg 3: System name,King County Water Taxi
TransitSystem3,5,Kitsap Ferry,rSurvey only: Transit leg 3: System name,Kitsap Ferry
TransitSystem3,6,Kitsap Transit Bus,rSurvey only: Transit leg 3: System name,Kitsap Transit Bus
TransitSystem3,7,Kitsap Transit Worker/Driver,rSurvey only: Transit leg 3: System name,Kitsap Transit Worker/Driver
TransitSystem3,8,Pierce County Ferry,rSurvey only: Transit leg 3: System name,Pierce County Ferry
TransitSystem3,9,Pierce Transit,rSurvey only: Transit leg 3: System name,Pierce Transit
TransitSystem3,10,Seattle Monorail,rSurvey only: Transit leg 3: System name,Seattle Monorail
TransitSystem3,11,Seattle Streetcar,rSurvey only: Transit leg 3: System name,Seattle Streetcar
